   1.00000,2005.87356,2003.93599,2000.79114
   2.00000,2002.73076,2001.50734,2000.24467
   3.00000,2002.36131,2001.21116,2000.19208
   4.00000,2002.36697,2001.17388,2000.18559
   5.00000,2002.42753,2001.16904,2000.18475
   6.00000,2002.50287,2001.16826,2000.18462
   7.00000,2002.58910,2001.16796,2000.18457
   8.00000,2002.68711,2001.16770,2000.18453
   9.00000,2002.79863,2001.16742,2000.18448
  10.00000,2002.92568,2001.16710,2000.18443
  11.00000,2003.07053,2001.16674,2000.18437
  12.00000,2003.23562,2001.16634,2000.18431
  13.00000,2003.42348,2001.16590,2000.18424
  14.00000,2003.63650,2001.16543,2000.18417
  15.00000,2003.87668,2001.16494,2000.18409
  16.00000,2004.14519,2001.16445,2000.18401
  17.00000,2004.44185,2001.16399,2000.18394
  18.00000,2004.76452,2001.16360,2000.18388
  19.00000,2005.10865,2001.16332,2000.18383
  20.00000,2005.46707,2001.16319,2000.18381
  21.00000,2005.83031,2001.16325,2000.18382
  22.00000,2006.18755,2001.16350,2000.18386
  23.00000,2006.52799,2001.16393,2000.18392
  24.00000,2006.84236,2001.16450,2000.18401
  25.00000,2007.12398,2001.16523,2000.18412
  26.00000,2007.36909,2001.16615,2000.18427
  27.00000,2007.57738,2001.16684,2000.18437
  28.00000,2007.75133,2001.16742,2000.18446
  29.00000,2007.89495,2001.16788,2000.18453
  30.00000,2008.01310,2001.16823,2000.18458
  31.00000,2008.11095,2001.16847,2000.18461
  32.00000,2008.19354,2001.16862,2000.18462
  33.00000,2008.26557,2001.16868,2000.18462
  34.00000,2008.33133,2001.16868,2000.18460
  35.00000,2008.39466,2001.16864,2000.18457
  36.00000,2008.45902,2001.16858,2000.18452
  37.00000,2008.52756,2001.16853,2000.18446
  38.00000,2008.60319,2001.16850,2000.18440
  39.00000,2008.68866,2001.16854,2000.18432
  40.00000,2008.78655,2001.16869,2000.18423
  41.00000,2008.89933,2001.16899,2000.18413
  42.00000,2009.02931,2001.16952,2000.18403
  43.00000,2009.17852,2001.17036,2000.18391
  44.00000,2009.34863,2001.17163,2000.18379
  45.00000,2009.54068,2001.17345,2000.18367
  46.00000,2009.75487,2001.17601,2000.18356
  47.00000,2009.99024,2001.17949,2000.18345
  48.00000,2010.24440,2001.18415,2000.18336
